Time,LLC,Speed,Ranking,Mileage,Address
2016-07-13 01:18:57,"-25.486926,26.385753",0,2,15552.8536,
2016-07-13 08:45:38,"-25.354096,26.367722",0,12,14880.6071,
2016-07-13 08:45:45,"-25.354132,26.367734",1.852,12,14884.7886,
2016-07-13 08:45:54,"-25.354026,26.367706",0,12,14896.9069,
2016-07-13 08:46:02,"-25.486926,26.385753",0,2,0,
2016-07-13 08:52:25,"-25.355300,26.366666",0,14,15072.9442,
2016-07-13 08:52:36,"-25.355298,26.366672",0,13,15073.581,
2016-07-13 08:52:47,"-25.355298,26.366678",0,14,15074.1739,
2016-07-13 08:52:58,"-25.355308,26.366688",0,14,15075.675,
2016-07-13 08:53:09,"-25.355302,26.366690",0,14,15076.3661,
2016-07-13 08:53:20,"-25.355294,26.366686",0,14,15077.3435,
2016-07-13 08:53:31,"-25.355292,26.366686",0,14,15077.3435,
2016-07-13 08:53:34,"-25.355288,26.366686",0,14,15077.7888,
2016-07-13 08:53:44,"-25.355286,26.366680",0,13,15078.4327,
2016-07-13 08:53:55,"-25.355278,26.366688",0,12,15079.6335,
2016-07-13 08:54:03,"-25.355270,26.366688",0,12,15080.5241,
2016-07-13 08:54:14,"-25.355258,26.366686",0,13,15081.87,
2016-07-13 08:54:25,"-25.355250,26.366686",0,13,15082.7555,
2016-07-13 08:54:33,"-25.355254,26.366688",0,13,15083.2396,
2016-07-13 08:57:35,"-25.355282,26.366704",0,12,15086.7445,
2016-07-13 08:57:46,"-25.355288,26.366698",0,12,15087.6451,
2016-07-13 11:50:31,"-25.355334,26.366644",7.408,11,15095.1016,
2016-07-13 11:50:40,"-25.355178,26.366854",9.26,12,15122.4177,
2016-07-13 11:50:53,"-25.355272,26.367022",3.704,13,15142.273,
2016-07-13 11:51:04,"-25.355474,26.367016",5.556,12,15164.7424,
2016-07-13 11:51:15,"-25.355686,26.367014",9.26,12,15188.3164,
2016-07-13 11:51:26,"-25.356036,26.366882",14.816,12,15229.4327,
2016-07-13 11:51:37,"-25.356414,26.366954",16.668,13,15272.0825,
2016-07-13 11:51:48,"-25.356914,26.367216",22.224,12,15333.5979,
2016-07-13 11:51:49,"-25.357490,26.367178",22.224,12,15397.7599,
2016-07-13 11:52:00,"-25.357934,26.366824",18.52,12,15458.6098,
2016-07-13 11:52:11,"-25.358266,26.366424",22.224,12,15513.1835,
2016-07-13 11:52:22,"-25.358460,26.365864",22.224,12,15573.4461,
2016-07-13 11:52:33,"-25.358636,26.365312",20.372,12,15632.2628,
2016-07-13 12:25:59,"-25.594937,26.326071",0,2,42201.3468,
2016-07-13 12:27:43,"-25.355258,26.366714",0,9,69162.8992,
2016-07-13 12:28:32,"-25.355282,26.366708",0,11,69165.6343,
2016-07-13 12:28:43,"-25.355282,26.366710",0,11,69165.6343,
2016-07-13 12:28:54,"-25.355274,26.366708",0,11,69166.5449,
2016-07-13 12:29:05,"-25.355272,26.366708",0,11,69166.5449,
2016-07-13 12:29:12,"-25.355280,26.366706",0,11,69167.4555,
2016-07-13 12:29:23,"-25.355284,26.366702",0,11,69168.0559,
2016-07-13 12:37:32,"-25.594937,26.326071",0,2,96126.5682,
2016-07-13 13:01:38,"-25.594937,26.326071",0,2,96126.5682,
2016-07-13 13:14:26,"-25.594937,26.326071",0,2,96126.5682,
2016-07-13 14:14:31,"-25.355278,26.366694",0,12,123085.6185,
2016-07-13 15:54:00,"-25.354212,26.371332",7.408,13,123566.5005,
2016-07-13 16:38:04,"-25.346974,26.384878",0,11,125147.8349,
2016-07-13 17:01:39,"-25.346964,26.384906",0,13,125150.8624,
2016-07-13 18:27:47,"-25.346982,26.384912",0,13,125152.951,
