Time,LLC,Speed,Ranking,Mileage,Address
2016-07-01 11:41:01,"-26.232056,28.046866",0,5,19332.7606,
2016-07-01 11:43:17,"-26.231934,28.046936",0,6,19348.018,
2016-07-01 11:43:26,"-26.231938,28.046924",0,5,19349.2952,
2016-07-01 11:43:38,"-26.231950,28.046916",0,6,19350.8494,
2016-07-01 11:43:48,"-26.231952,28.046924",0,6,19351.6825,
2016-07-01 11:43:59,"-26.231962,28.046936",0,6,19353.3186,
2016-07-01 11:44:10,"-26.231970,28.046944",0,6,19354.5119,
2016-07-01 12:07:32,"-26.232094,28.046874",0,9,19369.9668,
2016-07-01 12:07:39,"-26.232092,28.046878",0,9,19370.4319,
2016-07-01 12:07:50,"-26.232090,28.046890",0,10,19371.6477,
2016-07-01 12:08:01,"-26.232078,28.046896",0,9,19373.1061,
2016-07-01 12:08:12,"-26.232028,28.046918",0,9,19379.0825,
2016-07-01 12:08:24,"-26.232052,28.046894",0,9,19382.6675,
2016-07-01 12:08:35,"-26.232040,28.046880",0,9,19384.5991,
2016-07-01 12:08:46,"-26.232054,28.046876",0,9,19385.9944,
2016-07-01 12:08:57,"-26.232064,28.046886",0,9,19387.4894,
2016-07-01 12:09:06,"-26.232052,28.046886",0,9,19388.8253,
2016-07-01 12:09:16,"-26.232042,28.046876",1.852,9,19390.3173,
2016-07-01 12:09:27,"-26.232034,28.046870",0,9,19391.3829,
2016-07-01 12:09:38,"-26.232060,28.046878",0,9,19394.382,
2016-07-01 12:09:49,"-26.232060,28.046850",0,9,19397.1774,
2016-07-01 12:10:00,"-26.232070,28.046846",0,9,19398.3631,
2016-07-01 12:10:11,"-26.232056,28.046846",0,9,19399.9202,
2016-07-01 12:10:16,"-26.232046,28.046840",0,9,19401.1797,
2016-07-01 12:10:27,"-26.232054,28.046832",0,9,19402.373,
2016-07-01 12:10:38,"-26.232068,28.046824",0,9,19404.1235,
2016-07-01 12:10:49,"-26.232082,28.046812",0,9,19406.0875,
2016-07-01 12:11:00,"-26.232084,28.046808",0,9,19406.5526,
2016-07-01 12:11:11,"-26.232082,28.046806",0,9,19406.5526,
2016-07-01 12:11:16,"-26.232086,28.046814",0,9,19407.4681,
2016-07-01 12:17:36,"-26.232070,28.046710",0,9,19417.9926,
2016-07-01 12:17:38,"-26.232070,28.046710",0,9,19417.9926,
2016-07-01 12:17:47,"-26.232070,28.046796",0,9,19426.5705,
2016-07-01 12:17:56,"-26.232070,28.046834",0,9,19430.3608,
2016-07-01 12:18:07,"-26.232070,28.046846",0,9,19431.5579,
2016-07-01 12:18:16,"-26.232070,28.046854",0,9,19432.3578,
2016-07-01 12:18:26,"-26.232070,28.046860",0,9,19432.9507,
2016-07-01 12:18:37,"-26.232064,28.046876",0,9,19434.6805,
2016-07-01 12:18:48,"-26.232064,28.046884",0,9,19435.4861,
2016-07-01 12:34:32,"-26.232066,28.046884",0,9,19435.4861,
2016-07-01 12:34:36,"-26.232056,28.046888",0,9,19436.6718,
2016-07-01 12:34:46,"-26.232048,28.046894",0,9,19437.7417,
2016-07-01 12:34:57,"-26.232028,28.046916",0,9,19440.8659,
2016-07-01 12:35:08,"-26.232050,28.046924",0,9,19443.4379,
2016-07-01 12:35:16,"-26.232036,28.046888",0,9,19447.3522,
2016-07-01 12:35:26,"-26.232026,28.046876",0,9,19448.9855,
2016-07-01 12:35:37,"-26.232018,28.046870",0,9,19450.0554,
2016-07-01 12:35:48,"-26.232012,28.046870",0,9,19450.7199,
2016-07-01 12:35:59,"-26.232012,28.046870",0,9,19450.7199,
2016-07-01 12:36:10,"-26.232026,28.046864",0,9,19452.3833,
2016-07-01 12:36:56,"-26.232028,28.046858",0,9,19453.013,
2016-07-01 12:37:07,"-26.232032,28.046860",0,9,19453.4877,
2016-07-01 12:37:16,"-26.232038,28.046858",0,9,19454.1788,
2016-07-01 12:37:27,"-26.232046,28.046854",0,9,19455.1562,
2016-07-01 12:37:38,"-26.232050,28.046854",0,9,19455.6015,
2016-07-01 12:37:49,"-26.232048,28.046850",0,9,19456.0666,
2016-07-01 12:38:26,"-26.232056,28.046844",0,9,19457.1365,
2016-07-01 12:38:37,"-26.232070,28.046844",0,9,19458.6936,
2016-07-01 12:38:48,"-26.232106,28.046844",1.852,9,19462.6978,
2016-07-01 12:38:59,"-26.232120,28.046850",0,9,19464.3639,
2016-07-01 12:39:10,"-26.232126,28.046774",0,9,19471.9741,
2016-07-01 12:39:16,"-26.232084,28.046756",0,9,19476.9769,
2016-07-01 13:00:27,"-26.232050,28.046834",0,10,19485.6259,
2016-07-01 13:00:28,"-26.232048,28.046836",0,10,19485.6259,
2016-07-01 13:00:37,"-26.232042,28.046836",0,10,19486.2972,
2016-07-01 13:00:49,"-26.232030,28.046840",0,11,19487.6925,
2016-07-01 13:01:00,"-26.232026,28.046860",0,11,19489.7375,
2016-07-01 13:01:11,"-26.232036,28.046878",0,11,19491.8475,
2016-07-01 13:01:19,"-26.232040,28.046858",0,11,19493.8925,
2016-07-01 13:01:29,"-26.232050,28.046840",0,11,19496.0025,
2016-07-01 13:02:00,"-26.232058,28.046726",1.852,11,19507.4082,
2016-07-01 13:02:11,"-26.232060,28.046748",0,11,19509.6143,
2016-07-01 13:02:19,"-26.232062,28.046776",0,11,19512.4177,
2016-07-01 13:02:30,"-26.232066,28.046770",0,11,19513.1592,
2016-07-01 13:02:41,"-26.232060,28.046716",0,11,19518.5871,
2016-07-01 13:02:52,"-26.232066,28.046770",0,11,19524.015,
2016-07-01 13:03:03,"-26.232070,28.046790",0,11,19526.06,
2016-07-01 13:03:14,"-26.232068,28.046790",0,11,19526.06,
2016-07-01 13:03:19,"-26.232076,28.046798",0,11,19527.2571,
2016-07-01 13:03:30,"-26.232080,28.046804",0,11,19527.9986,
2016-07-01 13:04:59,"-26.232080,28.046834",0,11,19530.9902,
2016-07-01 13:05:10,"-26.232080,28.046834",0,11,19530.9902,
2016-07-01 13:05:19,"-26.232098,28.046826",0,11,19533.1467,
2016-07-01 13:05:30,"-26.232110,28.046830",0,11,19534.542,
2016-07-01 13:05:41,"-26.232112,28.046826",0,11,19535.0071,
2016-07-01 13:05:52,"-26.232112,28.046806",0,11,19537.003,
